node_name,Station code,Latitude,Longitude,Capacity
YGN0133-DN01-SN03.3,YGN0133,16.800537528451954,96.17953787120685,16
YGN0133-DN01-SN03.2,YGN0133,16.80054741412532,96.1798560150183,16
YGN0133-DN01-SN03.1,YGN0133,16.800459726282135,96.18026535393626,16
YGN0133-DN01-SN03,YGN0133,16.80080240551043,96.18030816258397,16
YGN0133-DN02-SN03.3,YGN0133,16.80763042,96.17858613,16
YGN0133-DN02-SN03.2,YGN0133,16.80689103,96.17841079,16
YGN0133-DN02-SN03.1,YGN0133,16.806320043519058,96.17920005859831,16
YGN0133-DN02-SN03,YGN0133,16.805485976419252,96.17907464504242,16
YGN0136-DN01-SN02.1,YGN0136,16.807503856878043,96.1769582484741,16
YGN0136-DN01-SN02,YGN0136,16.808079292006582,96.17714915424585,16
YGN0136-DN02-SN01.2,YGN0136,16.81190763,96.17330163,16
YGN0136-DN02-SN01,YGN0136,16.811111570551613,96.17510890799167,16
YGN0136-DN02-SN01.3,YGN0136,16.81221695,96.1716758,16
YGN0136-DN02-SN01.1,YGN0136,16.8116531,96.17472271,16
YGN0136-DN01-SN01,YGN0136,16.809961349333562,96.17627458646894,16
YGN0136-DN01-SN01.3,YGN0136,16.80991259,96.17227151,16
YGN0136-DN01-SN01.2,YGN0136,16.8100995,96.17360381,16
YGN0136-DN01-SN01.1,YGN0136,16.81008843,96.17497375,16
YGN0136-DN02-SN02,YGN0136,16.812100086581626,96.17524838286045,16
YGN0136-DN02-SN02.3,YGN0136,16.812732767734296,96.17194359643877,16
YGN0136-DN02-SN02.2,YGN0136,16.8123853,96.1734158,16
YGN0136-DN02-SN02.1,YGN0136,16.81214947,96.17438215,16
YGN0581-DN01-SN01.3,YGN0581,16.7834563,96.1932086,16
YGN0581-DN01-SN01.2,YGN0581,16.784151,96.1916671,16
YGN0581-DN01-SN01.1,YGN0581,16.7833393,96.191274,16
YGN0581-DN01-SN01,YGN0581,16.78314604801935,96.19221210479736,16
YGN0581-DN02-SN02,YGN0581,16.787372861372983,96.19437413290143,16
YGN0581-DN02-SN02.3,YGN0581,16.7854694,96.1944026,16
YGN0581-DN02-SN02.2,YGN0581,16.7861979,96.1939891,16
YGN0581-DN02-SN02.1,YGN0581,16.7866733,96.1939425,16
YGN0581-DN02-SN03,YGN0581,16.788523277884476,96.19496958330274,16
YGN0581-DN02-SN03.3,YGN0581,16.7881095,96.194645,16
YGN0581-DN02-SN03.2,YGN0581,16.7891713,96.1951703,16
YGN0581-DN02-SN03.1,YGN0581,16.7888457,96.1950081,16
YGN0581-DN02-SN04,YGN0581,16.790017781784567,96.19567232206464,16
YGN0581-DN02-SN04.3,YGN0581,16.7895129,96.1960349,16
YGN0581-DN02-SN04.2,YGN0581,16.7904302,96.1973275,16
YGN0581-DN02-SN04.1,YGN0581,16.7901337,96.19689,16
YGN0581-DN01-SN02.3,YGN0581,16.7818503,96.1922241,16
YGN0581-DN01-SN02.2,YGN0581,16.7804953,96.1919303,16
YGN0581-DN01-SN02.1,YGN0581,16.7811553,96.1917234,16
YGN0581-DN01-SN02,YGN0581,16.78152822691423,96.1914187743605,16
YGN0581-DN01-SN03.2,YGN0581,16.7791821,96.1917729,16
YGN0581-DN01-SN03.1,YGN0581,16.779705,96.1913786,16
YGN0581-DN01-SN03.3,YGN0581,16.780436,96.1910911,16
YGN0581-DN01-SN03,YGN0581,16.779915528234227,96.19070097338408,16
YGN0581-DN02-SN01,YGN0581,16.78449165372706,96.19291501119733,16
YGN0581-DN02-SN01.1,YGN0581,16.7854108,96.192515,16
YGN0581-DN02-SN01.3,YGN0581,16.786211,96.193116,16
YGN0581-DN02-SN01.2,YGN0581,16.7860011,96.192244,16
YGN0204-DN01-SN01.1,YGN0204,16.78398700991495,96.15661109985012,16
YGN0204-DN01-SN01,YGN0204,16.78394468156433,96.15659404546022,16
YGN0204-DN01-SN02.2,YGN0204,16.78488201704811,96.1551234011469,16
YGN0204-DN01-SN02.1,YGN0204,16.784290797738002,96.15532887379845,16
YGN0204-DN01-SN02,YGN0204,16.785449493203988,96.15497516468167,16
YGN0204-DN01-SN03.2,YGN0204,16.787998136370437,96.15277865904318,16
YGN0204-DN01-SN03.1,YGN0204,16.787250063139343,96.15309110439443,16
YGN0204-DN01-SN03,YGN0204,16.78836406887203,96.15249177441001,16
YGN0204-DN02-SN01,YGN0204,16.78898036108181,96.1605516448617,16
